match_id,match_type,date,tee_time,team_won,win_score,player_1_name,player_1_id,player_1_country,player_1_height,player_1_weight,player_1_owgr,player_1_dob,player_2_name,player_2_id,player_2_country,player_2_height,player_2_weight,player_2_owgr,player_2_dob,player_3_name,player_3_id,player_3_country,player_3_height,player_3_weight,player_3_owgr,player_3_dob,player_4_name,player_4_id,player_4_country,player_4_height,player_4_weight,player_4_owgr,player_4_dob
fri_fs_1,foursomes,09/30/2016,7:35 AM,USA,Wins 3 & 2,Jordan Spieth,34046.0,USA,73.0,185.0,4.0,1993/07/27,Patrick Reed,34360.0,USA,72.0,200.0,8.0,1990/08/05,Henrik Stenson,21528.0,EUR,74.0,190.0,5.0,1976/04/05,Justin Rose,22405.0,EUR,75.0,195.0,11.0,1980/07/30
fri_fs_2,foursomes,09/30/2016,7:50 AM,USA,Wins 1Up,Phil Mickelson,1810.0,USA,75.0,200.0,15.0,1970/06/16,Rickie Fowler,32102.0,USA,69.0,150.0,9.0,1988/12/13,Rory McIlroy,28237.0,EUR,70.0,160.0,3.0,1989/05/04,Andy Sullivan,35314.0,EUR,69.0,170.0,50.0,1986/05/19
fri_fs_3,foursomes,09/30/2016,8:05 AM,USA,Wins 4 & 2,Jimmy Walker,25632.0,USA,74.0,180.0,16.0,1979/01/16,Zach Johnson,24024.0,USA,71.0,164.0,28.0,1976/02/24,Sergio Garcia,21209.0,EUR,70.0,180.0,12.0,1980/01/09,Martin Kaymer,27408.0,EUR,72.0,165.0,48.0,1984/12/28
fri_fs_4,foursomes,09/30/2016,8:20 AM,USA,Wins 5 & 4,Dustin Johnson,30925.0,USA,76.0,190.0,2.0,1984/06/22,Matt Kuchar,23108.0,USA,76.0,195.0,17.0,1978/06/21,Lee Westwood,20396.0,EUR,72.0,205.0,46.0,1973/04/24,Thomas Pieters,33293.0,EUR,77.0,187.0,42.0,1992/01/27
fri_fb_1,fourball,09/30/2016,12:30 PM,EUR,Wins 5 & 4,Jordan Spieth,34046.0,USA,73.0,185.0,4.0,1993/07/27,Patrick Reed,34360.0,USA,72.0,200.0,8.0,1990/08/05,Justin Rose,22405.0,EUR,75.0,195.0,11.0,1980/07/30,Henrik Stenson,21528.0,EUR,74.0,190.0,5.0,1976/04/05
fri_fb_2,fourball,09/30/2016,12:45 PM,EUR,Wins 3 & 2,J. B. Holmes,27141.0,USA,71.0,190.0,21.0,1982/04/26,Ryan Moore,26596.0,USA,69.0,170.0,31.0,1982/12/05,Sergio Garcia,21209.0,EUR,70.0,180.0,12.0,1980/01/09,Rafa Cabrera Bello,26499.0,EUR,74.0,179.0,30.0,1984/05/25
fri_fb_3,fourball,09/30/2016,1:00 PM,USA,Wins 5 & 4,Brandt Snedeker,27649.0,USA,73.0,185.0,23.0,1980/12/08,Brooks Koepka,36689.0,USA,72.0,186.0,22.0,1990/05/03,Martin Kaymer,27408.0,EUR,72.0,165.0,48.0,1984/12/28,Danny Willett,32139.0,EUR,71.0,170.0,10.0,1987/10/03
fri_fb_4,fourball,09/30/2016,1:15 PM,EUR,Wins 3 & 2,Dustin Johnson,30925.0,USA,76.0,190.0,2.0,1984/06/22,Matt Kuchar,23108.0,USA,76.0,195.0,17.0,1978/06/21,Rory McIlroy,28237.0,EUR,70.0,160.0,3.0,1989/05/04,Thomas Pieters,33293.0,EUR,77.0,187.0,42.0,1992/01/27
sat_fs_1,foursomes,10/01/2016,7:35 AM,EUR,Wins 4 & 2,Rickie Fowler,32102.0,USA,69.0,150.0,9.0,1988/12/13,Phil Mickelson,1810.0,USA,75.0,200.0,15.0,1970/06/16,Rory McIlroy,28237.0,EUR,70.0,160.0,3.0,1989/05/04,Thomas Pieters,33293.0,EUR,77.0,187.0,42.0,1992/01/27
sat_fs_2,foursomes,10/01/2016,7:50 AM,USA,Wins 3 & 2,Brandt Snedeker,27649.0,USA,73.0,185.0,23.0,1980/12/08,Brooks Koepka,36689.0,USA,72.0,186.0,22.0,1990/05/03,Henrik Stenson,21528.0,EUR,74.0,190.0,5.0,1976/04/05,Matt Fitzpatrick,40098.0,EUR,70.0,155.0,44.0,1994/09/01
sat_fs_3,foursomes,10/01/2016,8:05 AM,EUR,Wins 1Up,Jimmy Walker,25632.0,USA,74.0,180.0,16.0,1979/01/16,Zach Johnson,24024.0,USA,71.0,164.0,28.0,1976/02/24,Justin Rose,22405.0,EUR,75.0,195.0,11.0,1980/07/30,Chris Wood,22000.0,EUR,77.0,195.0,32.0,1987/11/26
sat_fs_4,foursomes,10/01/2016,8:20 AM,,Halved,Patrick Reed,34360.0,USA,72.0,200.0,8.0,1990/08/05,Jordan Spieth,34046.0,USA,73.0,185.0,4.0,1993/07/27,Sergio Garcia,21209.0,EUR,70.0,180.0,12.0,1980/01/09,Rafa Cabrera Bello,26499.0,EUR,74.0,179.0,30.0,1984/05/25
sat_fb_1,fourball,10/01/2016,12:30 PM,EUR,Wins 3 & 1,Brooks Koepka,36689.0,USA,72.0,186.0,22.0,1990/05/03,Dustin Johnson,30925.0,USA,76.0,190.0,2.0,1984/06/22,Rory McIlroy,28237.0,EUR,70.0,160.0,3.0,1989/05/04,Thomas Pieters,33293.0,EUR,77.0,187.0,42.0,1992/01/27
sat_fb_2,fourball,10/01/2016,12:45 PM,USA,Wins 1Up,J. B. Holmes,27141.0,USA,71.0,190.0,21.0,1982/04/26,Ryan Moore,26596.0,USA,69.0,170.0,31.0,1982/12/05,Danny Willett,32139.0,EUR,71.0,170.0,10.0,1987/10/03,Lee Westwood,20396.0,EUR,72.0,205.0,46.0,1973/04/24
sat_fb_3,fourball,10/01/2016,1:04 PM,USA,Wins 2 & 1,Phil Mickelson,1810.0,USA,75.0,200.0,15.0,1970/06/16,Matt Kuchar,23108.0,USA,76.0,195.0,17.0,1978/06/21,Martin Kaymer,27408.0,EUR,72.0,165.0,48.0,1984/12/28,Sergio Garcia,21209.0,EUR,70.0,180.0,12.0,1980/01/09
sat_fb_4,fourball,10/01/2016,1:19 PM,USA,Wins 2 & 1,Patrick Reed,34360.0,USA,72.0,200.0,8.0,1990/08/05,Jordan Spieth,34046.0,USA,73.0,185.0,4.0,1993/07/27,Justin Rose,22405.0,EUR,75.0,195.0,11.0,1980/07/30,Henrik Stenson,21528.0,EUR,74.0,190.0,5.0,1976/04/05
sun_sing_1,singles,10/02/2016,11:04 AM,USA,Wins 1Up,Patrick Reed,34360.0,USA,72.0,200.0,8.0,1990/08/05,Rory McIlroy,28237.0,EUR,70.0,160.0,3.0,1989/05/04,Justin Rose,22405.0,EUR,75.0,195.0,11.0,1980/07/30,Henrik Stenson,21528.0,EUR,74.0,190.0,5.0,1976/04/05
sun_sing_2,singles,10/02/2016,11:15 AM,EUR,Wins 3 & 2,Jordan Spieth,34046.0,USA,73.0,185.0,4.0,1993/07/27,Henrik Stenson,21528.0,EUR,74.0,190.0,5.0,1976/04/05,,,,,,,,,,,,,,
sun_sing_3,singles,10/02/2016,11:26 AM,EUR,Wins 3 & 2,J. B. Holmes,27141.0,USA,71.0,190.0,21.0,1982/04/26,Thomas Pieters,33293.0,EUR,77.0,187.0,42.0,1992/01/27,,,,,,,,,,,,,,
sun_sing_4,singles,10/02/2016,11:37 AM,USA,Wins 1Up,Rickie Fowler,32102.0,USA,69.0,150.0,9.0,1988/12/13,Justin Rose,22405.0,EUR,75.0,195.0,11.0,1980/07/30,,,,,,,,,,,,,,
sun_sing_5,singles,10/02/2016,11:48 AM,EUR,Wins 3 & 2,Jimmy Walker,25632.0,USA,74.0,180.0,16.0,1979/01/16,Rafa Cabrera Bello,26499.0,EUR,74.0,179.0,30.0,1984/05/25,,,,,,,,,,,,,,
sun_sing_6,singles,10/02/2016,11:59 AM,,Halved,Phil Mickelson,1810.0,USA,75.0,200.0,15.0,1970/06/16,Sergio Garcia,21209.0,EUR,70.0,180.0,12.0,1980/01/09,,,,,,,,,,,,,,
sun_sing_7,singles,10/02/2016,12:10 PM,USA,Wins 1Up,Ryan Moore,26596.0,USA,69.0,170.0,31.0,1982/12/05,Lee Westwood,20396.0,EUR,72.0,205.0,46.0,1973/04/24,,,,,,,,,,,,,,
sun_sing_8,singles,10/02/2016,12:21 PM,USA,Wins 3 & 1,Brandt Snedeker,27649.0,USA,73.0,185.0,23.0,1980/12/08,Andy Sullivan,35314.0,EUR,69.0,170.0,50.0,1986/05/19,,,,,,,,,,,,,,
sun_sing_9,singles,10/02/2016,12:32 PM,USA,Wins 1Up,Dustin Johnson,30925.0,USA,76.0,190.0,2.0,1984/06/22,Chris Wood,22000.0,EUR,77.0,195.0,32.0,1987/11/26,,,,,,,,,,,,,,
sun_sing_10,singles,10/02/2016,12:43 PM,USA,Wins 5 & 4,Brooks Koepka,36689.0,USA,72.0,186.0,22.0,1990/05/03,Danny Willett,32139.0,EUR,71.0,170.0,10.0,1987/10/03,,,,,,,,,,,,,,
sun_sing_11,singles,10/02/2016,12:54 PM,EUR,Wins 1Up,Matt Kuchar,23108.0,USA,76.0,195.0,17.0,1978/06/21,Martin Kaymer,27408.0,EUR,72.0,165.0,48.0,1984/12/28,,,,,,,,,,,,,,
sun_sing_12,singles,10/02/2016,1:05 PM,USA,Wins 4 & 3,Zach Johnson,24024.0,USA,71.0,164.0,28.0,1976/02/24,Matt Fitzpatrick,40098.0,EUR,70.0,155.0,44.0,1994/09/01,,,,,,,,,,,,,,
